"testID","predicted rating"
0,3.00
1,3.00
2,3.00
3,3.50
4,3.00
5,2.50
6,3.00
7,3.00
8,2.50
9,3.00
10,3.50
11,3.00
12,3.00
13,3.00
14,3.00
15,3.00
16,3.00
17,3.00
18,3.00
19,3.00
20,2.50
21,2.50
22,3.00
23,3.50
24,3.00
25,3.00
26,3.00
27,3.00
28,2.50
29,2.00
30,3.00
31,4.00
32,3.00
33,3.50
34,3.00
35,3.00
36,3.00
37,2.50
38,3.00
39,2.50
40,3.00
41,3.00
42,2.50
43,3.00
44,3.50
45,3.00
46,2.50
47,2.50
48,2.50
49,3.00
50,2.00
51,3.00
52,3.50
53,3.00
54,3.00
55,3.50
56,3.50
57,3.00
58,1.50
59,3.00
60,2.50
61,2.50
62,3.00
63,2.00
64,3.00
65,3.00
66,2.00
67,3.00
68,3.00
69,3.00
70,3.00
71,3.00
72,3.00
73,3.00
74,3.00
75,3.00
76,3.00
77,3.00
78,3.00
79,3.00
80,3.00
81,3.00
82,3.00
83,3.50
84,3.00
85,3.00
86,3.00
87,3.50
88,3.00
89,3.50
90,1.50
91,2.00
92,3.00
93,3.00
94,2.50
95,3.00
96,3.00
97,2.50
98,3.00
99,3.00
100,3.00
101,2.50
102,3.00
103,3.50
104,3.00
105,3.00
106,2.50
107,3.25
108,2.50
109,3.50
110,3.00
111,3.50
112,3.00
113,3.50
114,3.00
115,3.00
116,3.00
117,3.00
118,3.00
119,2.50
120,2.50
121,2.50
122,3.00
123,3.00
124,3.00
125,3.00
126,3.50
127,2.00
128,3.00
129,2.50
130,3.00
131,2.50
132,3.50
133,3.00
134,2.00
135,3.50
136,3.00
137,3.00
138,2.50
139,3.00
140,3.00
141,3.00
142,3.00
143,3.00
144,2.50
145,2.50
146,3.00
147,3.50
148,3.00
149,3.00
150,2.50
151,2.50
152,3.00
153,2.50
154,3.00
155,2.50
156,3.50
157,3.00
158,3.00
159,3.50
160,3.50
161,2.00
162,2.50
163,2.50
164,3.00
165,3.00
166,2.50
167,2.00
168,3.00
169,3.00
170,3.50
171,3.50
172,1.50
173,3.00
174,2.50
175,3.00
176,3.00
177,3.00
178,3.00
179,3.00
180,3.00
181,3.00
182,3.00
183,3.00
184,2.50
185,2.50
186,3.00
187,3.00
188,3.00
189,3.00
190,3.00
191,2.50
192,3.00
193,2.50
194,3.50
195,3.00
196,3.50
197,3.50
198,3.00
199,3.00
200,3.00
201,3.50
202,3.50
203,3.00
204,3.00
205,3.00
206,3.00
207,3.25
208,2.50
209,2.50
210,3.00
211,3.00
212,2.50
213,2.00
214,3.00
215,2.00
216,3.00
217,2.50
218,3.00
219,3.00
220,3.00
221,3.00
222,2.50
223,3.00
224,2.50
225,2.50
226,2.00
227,3.00
228,3.00
229,3.00
230,3.00
231,3.00
232,3.50
233,3.50
234,2.50
235,3.00
236,2.50
237,3.50
238,3.00
239,2.50
240,3.00
241,3.00
242,2.50
243,2.50
244,2.50
245,3.00
246,3.00
247,3.00
248,3.00
249,3.00
250,3.00
251,3.00
252,3.00
253,2.50
254,3.00
255,3.50
256,3.00
257,3.00
258,3.00
259,3.50
260,3.50
261,3.50
262,3.00
263,2.50
264,3.00
265,3.50
266,4.00
267,3.00
268,2.50
269,3.00
270,2.50
271,2.00
272,2.50
273,3.00
274,3.00
275,3.00
276,3.00
277,2.50
278,2.50
279,3.00
280,3.00
281,3.00
282,2.50
283,3.00
284,2.50
285,2.50
286,3.00
287,3.00
288,3.00
289,3.00
290,3.00
291,3.00
292,2.50
293,2.50
294,3.00
295,3.50
296,3.00
297,3.00
298,3.00
299,3.00
300,3.00
301,3.00
302,2.50
303,3.00
304,2.50
305,3.00
306,3.00
307,2.50
308,2.50
309,3.00
310,3.00
311,3.00
312,2.50
313,3.50
314,3.00
315,2.50
316,2.50
317,3.00
318,3.00
319,3.00
320,3.00
321,3.00
322,2.50
323,2.00
324,3.00
325,3.50
326,3.00
327,3.00
328,3.00
329,3.50
330,3.50
331,3.00
332,3.50
333,3.00
334,3.00
335,3.00
336,3.00
337,2.50
338,3.00
339,3.00
340,3.00
341,2.00
342,3.00
343,3.50
344,3.00
345,3.00
346,3.50
347,3.00
348,3.00
349,2.50
350,2.50
351,3.00
352,2.75
353,2.50
354,3.00
355,3.25
356,2.50
357,3.00
358,3.50
359,3.00
360,3.00
361,3.50
362,3.00
363,3.00
364,3.00
365,3.00
366,3.00
367,2.50
368,3.00
369,2.50
370,3.00
371,3.00
372,2.50
373,1.50
374,2.50
375,3.75
376,3.00
377,3.00
378,3.00
379,2.50
380,3.00
381,2.50
382,3.00
383,3.00
384,3.00
385,3.50
386,3.50
387,2.00
388,3.00
389,3.00
390,2.50
391,3.00
392,3.00
393,2.50
394,2.50
395,2.50
396,3.50
397,3.50
398,3.00
399,3.00
400,3.00
401,2.50
402,3.00
403,3.50
404,2.50
405,3.00
406,2.50
407,2.50
408,3.25
409,2.50
410,3.00
411,3.00
412,3.00
413,3.00
414,3.00
415,3.00
416,3.00
417,3.00
418,3.50
419,3.00
420,3.50
421,3.00
422,3.00
423,2.50
424,3.50
425,3.00
426,3.50
427,3.00
428,3.00
429,3.00
430,3.00
431,3.25
432,3.00
433,3.50
434,3.00
435,3.00
436,3.00
437,3.50
438,3.00
439,2.50
440,3.00
441,3.25
442,3.00
443,3.00
444,2.50
445,3.25
446,3.00
447,3.00
448,3.00
449,3.00
450,3.00
451,3.00
452,3.00
453,3.00
454,3.00
455,4.00
456,3.00
457,3.50
458,2.50
459,3.00
460,2.50
461,3.00
462,3.50
463,2.00
464,3.00
465,3.50
466,3.00
467,3.00
468,3.00
469,3.00
470,3.00
471,2.75
472,3.25
473,3.00
474,3.00
475,3.00
476,3.50
477,3.00
478,3.00
479,3.00
480,3.50
481,3.00
482,3.00
483,3.00
484,3.50
485,3.00
486,3.00
487,2.50
488,3.00
489,3.00
490,2.00
491,3.00
492,3.25
493,3.50
494,3.00
495,3.00
496,3.00
497,3.00
498,3.50
499,3.00
500,3.00
501,3.00
502,3.00
503,2.50
504,2.50
505,2.50
506,3.00
507,3.00
508,3.00
509,2.50
510,3.00
511,3.00
512,2.00
513,1.50
514,3.00
515,3.00
516,2.50
517,3.00
518,2.00
519,3.50
520,3.50
521,3.00
522,3.00
523,2.50
524,3.00
525,2.50
526,3.50
527,2.50
528,3.00
529,3.00
530,2.00
531,3.50
532,2.50
533,3.00
534,3.00
535,3.00
536,2.50
537,3.00
538,3.25
539,3.50
540,2.50
541,3.00
542,3.00
543,3.00
544,2.50
545,3.50
546,2.50
547,2.50
548,3.50
549,3.00
550,2.50
551,3.00
552,3.00
553,3.00
554,3.00
555,3.00
556,3.50
557,3.50
558,2.50
559,3.50
560,2.50
561,2.50
562,3.00
563,3.50
564,3.00
565,3.00
566,2.50
567,3.50
568,3.00
569,3.00
570,3.50
571,3.00
572,2.50
573,3.00
574,3.50
575,2.50
576,2.00
577,3.00
578,2.50
579,3.00
580,3.00
581,3.00
582,3.00
583,3.00
584,2.50
585,3.50
586,3.00
587,3.00
588,3.00
589,2.50
590,3.00
